,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
0,SPY260710C00450000,2026-06-26 16:57:31+00:00,450.0,285.63,293.11,296.62,0.0,0.0,5.0,5,1.4121123144531251,True,REGULAR,USD,2026-07-10
1,SPY260710C00480000,2026-06-17 15:11:51+00:00,480.0,269.25,263.14,266.65,0.0,0.0,,0,1.2832067089843748,True,REGULAR,USD,2026-07-10
2,SPY260710C00495000,2026-06-09 16:38:21+00:00,495.0,230.27,248.15,251.66,0.0,0.0,,0,1.2109414453124998,True,REGULAR,USD,2026-07-10
3,SPY260710C00500000,2026-06-09 17:04:24+00:00,500.0,228.88,243.15,246.67,0.0,0.0,,1,1.1875040625,True,REGULAR,USD,2026-07-10
4,SPY260710C00520000,2026-06-18 14:43:41+00:00,520.0,227.79,223.17,226.69,0.0,0.0,2.0,2,1.0976607617187502,True,REGULAR,USD,2026-07-10
5,SPY260710C00525000,2026-06-18 14:45:24+00:00,525.0,223.0,218.18,221.69,0.0,0.0,2.0,2,1.076176494140625,True,REGULAR,USD,2026-07-10
6,SPY260710C00530000,2026-06-18 15:06:19+00:00,530.0,218.1,213.18,216.69,0.0,0.0,2.0,2,1.0488328808593752,True,REGULAR,USD,2026-07-10
7,SPY260710C00535000,2026-06-12 13:40:45+00:00,535.0,202.56,208.19,211.7,0.0,0.0,,0,1.0293017285156252,True,REGULAR,USD,2026-07-10
8,SPY260710C00555000,2026-06-16 19:49:29+00:00,555.0,196.07,188.21,191.72,0.0,0.0,1.0,0,0.938477177734375,True,REGULAR,USD,2026-07-10
9,SPY260710C00560000,2026-06-23 14:22:16+00:00,560.0,181.3,183.21,186.72,0.0,0.0,,0,0.913086806640625,True,REGULAR,USD,2026-07-10
10,SPY260710C00565000,2026-06-17 18:03:08+00:00,565.0,181.49,178.22,181.73,0.0,0.0,,6,0.89257919921875,True,REGULAR,USD,2026-07-10
11,SPY260710C00575000,2026-07-01 20:08:49+00:00,575.0,170.86,168.23,171.74,0.0,0.0,1.0,1,0.8476577734374999,True,REGULAR,USD,2026-07-10
12,SPY260710C00590000,2026-06-26 14:51:50+00:00,590.0,144.33,153.24,156.75,0.0,0.0,4.0,1,0.7763694238281251,True,REGULAR,USD,2026-07-10
13,SPY260710C00595000,2026-06-26 16:28:58+00:00,595.0,140.09,148.25,151.76,0.0,0.0,50.0,25,0.75586181640625,True,REGULAR,USD,2026-07-10
14,SPY260710C00600000,2026-06-30 14:33:29+00:00,600.0,146.11,143.25,146.76,0.0,0.0,3.0,59,0.7304714453125,True,REGULAR,USD,2026-07-10
15,SPY260710C00605000,2026-06-15 19:07:02+00:00,605.0,150.27,138.26,141.77,0.0,0.0,,1,0.709963837890625,True,REGULAR,USD,2026-07-10
16,SPY260710C00610000,2026-07-02 19:32:44+00:00,610.0,132.95,133.26,136.78,-3.4900055,-2.5579047,1.0,8,0.6865265722656251,True,REGULAR,USD,2026-07-10
17,SPY260710C00615000,2026-07-02 19:33:08+00:00,615.0,128.0,128.27,131.78,-12.2599945,-8.740907,1.0,1,0.6640658593750002,True,REGULAR,USD,2026-07-10
18,SPY260710C00620000,2026-07-02 14:27:46+00:00,620.0,128.73,123.27,126.79,9.839996,8.276555,1.0,3,0.64062859375,True,REGULAR,USD,2026-07-10
19,SPY260710C00625000,2026-06-30 15:49:22+00:00,625.0,121.56,118.28,121.79,0.0,0.0,,1,0.6176796044921876,True,REGULAR,USD,2026-07-10
20,SPY260710C00630000,2026-06-30 19:55:42+00:00,630.0,118.76,113.29,116.8,0.0,0.0,1.0,7,0.5961954443359375,True,REGULAR,USD,2026-07-10
21,SPY260710C00635000,2026-07-01 19:42:54+00:00,635.0,112.58,108.29,111.8,0.0,0.0,1.0,8,0.5717816259765626,True,REGULAR,USD,2026-07-10
22,SPY260710C00640000,2026-07-01 19:36:03+00:00,640.0,107.98,103.3,106.81,0.0,0.0,1.0,21,0.5498091894531252,True,REGULAR,USD,2026-07-10
23,SPY260710C00645000,2026-07-02 15:19:15+00:00,645.0,100.66,98.31,101.82,-2.4199982,-2.3476894,1.0,2,0.5283250292968751,True,REGULAR,USD,2026-07-10
24,SPY260710C00650000,2026-07-02 18:27:06+00:00,650.0,92.92,93.31,96.82,-4.2000046,-4.3245516,1.0,31,0.5034229345703125,True,REGULAR,USD,2026-07-10
25,SPY260710C00652000,2026-06-23 13:42:50+00:00,652.0,85.12,91.32,94.83,0.0,0.0,1.0,1,0.7117948742675781,True,REGULAR,USD,2026-07-10
26,SPY260710C00654000,2026-06-25 19:59:23+00:00,654.0,80.22,89.32,92.83,0.0,0.0,,1,0.6989776196289064,True,REGULAR,USD,2026-07-10
27,SPY260710C00655000,2026-06-30 15:57:50+00:00,655.0,92.04,88.32,91.83,0.0,0.0,2.0,13,0.6926300268554688,True,REGULAR,USD,2026-07-10
