,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY260605C00445000,2026-05-11 18:59:34+00:00,445.0,295.38,300.22,303.01,0.0,0.0,,1,1.2675817871093749,True,REGULAR,USD
1,SPY260605C00510000,2026-05-21 16:23:04+00:00,510.0,230.13,235.33,238.12,0.0,0.0,4.0,0,0.983398603515625,True,REGULAR,USD
2,SPY260605C00515000,2026-05-20 14:23:50+00:00,515.0,223.64,230.33,233.12,0.0,0.0,1.0,1,0.9614261669921874,True,REGULAR,USD
3,SPY260605C00520000,2026-05-15 17:11:14+00:00,520.0,222.85,225.34,228.13,0.0,0.0,2.0,2,0.9409185595703125,True,REGULAR,USD
4,SPY260605C00525000,2026-05-20 14:49:40+00:00,525.0,214.17,220.35,223.16,0.0,0.0,1.0,3,0.9221199194335938,True,REGULAR,USD
5,SPY260605C00530000,2026-05-15 17:13:57+00:00,530.0,216.24,215.36,218.17,3.4900055,1.6404257,2.0,1,0.9018564501953125,True,REGULAR,USD
6,SPY260605C00560000,2026-05-22 19:31:37+00:00,560.0,186.66,185.41,188.21,5.7700043,3.1897862,2.0,0,0.7805197729492188,True,REGULAR,USD
7,SPY260605C00565000,2026-05-11 13:48:39+00:00,565.0,175.74,180.42,183.21,0.0,0.0,,1,0.7602563037109377,True,REGULAR,USD
8,SPY260605C00570000,2026-05-22 19:28:11+00:00,570.0,176.85,175.44,178.22,5.900009,3.451307,1.0,2,0.7414576635742187,True,REGULAR,USD
9,SPY260605C00590000,2026-05-22 19:30:53+00:00,590.0,156.51,155.48,158.27,6.2599945,4.1663857,4.0,52,0.6644320666503909,True,REGULAR,USD
10,SPY260605C00594000,2026-04-24 15:07:32+00:00,594.0,121.14,151.49,154.27,0.0,0.0,1.0,1,0.6486851538085938,True,REGULAR,USD
11,SPY260605C00598000,2026-04-24 19:04:36+00:00,598.0,119.5,147.5,150.28,0.0,0.0,1.0,1,0.6335485864257813,True,REGULAR,USD
12,SPY260605C00600000,2026-05-22 19:36:58+00:00,600.0,147.0,145.76,147.63,12.2400055,9.082818,1.0,2163,0.6066933862304689,True,REGULAR,USD
13,SPY260605C00601000,2026-05-15 18:13:46+00:00,601.0,143.59,144.5,147.31,0.0,0.0,3.0,3,0.6229285754394531,True,REGULAR,USD
14,SPY260605C00603000,2026-05-15 18:12:35+00:00,603.0,141.63,142.51,145.3,0.0,0.0,1.0,1,0.6149940844726562,True,REGULAR,USD
15,SPY260605C00604000,2026-05-11 18:19:34+00:00,604.0,138.5,141.51,144.32,0.0,0.0,,5,0.6118202880859377,True,REGULAR,USD
16,SPY260605C00605000,2026-05-21 15:13:43+00:00,605.0,134.53,140.51,143.31,0.0,0.0,1.0,25,0.6074258007812501,True,REGULAR,USD
17,SPY260605C00611000,2026-05-22 18:45:13+00:00,611.0,138.75,134.53,137.35,23.769997,20.673157,2.0,2,0.585941640625,True,REGULAR,USD
18,SPY260605C00614000,2026-05-19 14:14:31+00:00,614.0,120.92,131.54,134.33,0.0,0.0,1.0,5,0.5736126623535156,True,REGULAR,USD
19,SPY260605C00615000,2026-05-20 19:33:16+00:00,615.0,127.11,130.54,133.35,0.0,0.0,1.0,2,0.5704388659667969,True,REGULAR,USD
20,SPY260605C00620000,2026-05-11 15:31:39+00:00,620.0,122.0,125.56,128.35,0.0,0.0,1.0,5,0.5513960876464845,True,REGULAR,USD
21,SPY260605C00625000,2026-05-18 13:37:28+00:00,625.0,115.27,120.57,123.38,0.0,0.0,3.0,7,0.5330857238769531,True,REGULAR,USD
22,SPY260605C00628000,2026-05-19 15:19:37+00:00,628.0,106.98,117.58,120.39,0.0,0.0,7.0,1,0.5219774365234374,True,REGULAR,USD
23,SPY260605C00629000,2026-04-24 15:09:23+00:00,629.0,87.34,116.58,119.38,0.0,0.0,1.0,1,0.51758294921875,True,REGULAR,USD
24,SPY260605C00630000,2026-05-22 15:01:19+00:00,630.0,117.66,115.59,118.38,4.3200073,3.8115473,1.0,3,0.5140429455566407,True,REGULAR,USD
25,SPY260605C00631000,2026-05-07 14:08:20+00:00,631.0,106.41,114.59,117.38,0.0,0.0,3.0,2,0.5100146655273439,True,REGULAR,USD
26,SPY260605C00634000,2026-05-01 14:20:37+00:00,634.0,93.88,111.6,114.39,0.0,0.0,1.0,0,0.5830119824218749,True,REGULAR,USD
27,SPY260605C00635000,2026-05-06 14:24:05+00:00,635.0,98.12,110.61,113.4,0.0,0.0,5.0,2,0.579105771484375,True,REGULAR,USD
28,SPY260605C00636000,2026-05-20 14:05:57+00:00,636.0,100.68,109.61,112.42,0.0,0.0,1.0,4,0.5756878369140624,True,REGULAR,USD
29,SPY260605C00640000,2026-05-21 13:47:54+00:00,640.0,99.78,105.63,108.42,0.0,0.0,7.0,11,0.5579878186035157,True,REGULAR,USD
30,SPY260605C00642000,2026-05-06 15:02:51+00:00,642.0,93.42,103.63,106.42,0.0,0.0,1.0,1,0.5491988439941409,True,REGULAR,USD
31,SPY260605C00644000,2026-05-13 14:29:11+00:00,644.0,96.46,101.64,104.43,0.0,0.0,2.0,3,0.5408371112060548,True,REGULAR,USD
32,SPY260605C00645000,2026-05-21 13:54:18+00:00,645.0,95.59,100.65,103.44,0.0,0.0,1.0,4,0.5368698657226563,True,REGULAR,USD
