,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration
0,SPY260710P00450000,2026-06-29 19:55:28+00:00,450.0,0.01,0.0,0.01,0.0,0.0,315.0,2307,1.125004375,False,REGULAR,USD,2026-07-10
1,SPY260710P00455000,2026-06-29 19:56:37+00:00,455.0,0.01,0.0,0.01,0.0,0.0,400.0,1291,1.09375453125,False,REGULAR,USD,2026-07-10
2,SPY260710P00460000,2026-07-01 17:58:37+00:00,460.0,0.01,0.0,0.01,0.0,0.0,40.0,575,1.0625046875000002,False,REGULAR,USD,2026-07-10
3,SPY260710P00465000,2026-06-26 18:35:34+00:00,465.0,0.02,0.0,0.01,0.0,0.0,242.0,526,1.0625046875000002,False,REGULAR,USD,2026-07-10
4,SPY260710P00470000,2026-06-25 14:34:48+00:00,470.0,0.02,0.0,0.01,0.0,0.0,5.0,361,1.0312548437500002,False,REGULAR,USD,2026-07-10
5,SPY260710P00475000,2026-06-30 19:35:25+00:00,475.0,0.01,0.0,0.01,0.0,0.0,352.0,1060,1.000005,False,REGULAR,USD,2026-07-10
6,SPY260710P00480000,2026-06-30 18:53:49+00:00,480.0,0.02,0.0,0.01,0.0,0.0,55.0,1555,0.98437515625,False,REGULAR,USD,2026-07-10
7,SPY260710P00485000,2026-06-30 14:25:52+00:00,485.0,0.01,0.0,0.01,0.0,0.0,2.0,2575,0.9687503125,False,REGULAR,USD,2026-07-10
8,SPY260710P00490000,2026-07-01 17:31:15+00:00,490.0,0.01,0.0,0.01,0.0,0.0,200.0,4485,0.937500625,False,REGULAR,USD,2026-07-10
9,SPY260710P00495000,2026-07-01 17:31:59+00:00,495.0,0.02,0.0,0.01,0.0,0.0,34.0,1838,0.92187578125,False,REGULAR,USD,2026-07-10
10,SPY260710P00500000,2026-07-01 18:05:58+00:00,500.0,0.01,0.0,0.01,0.0,0.0,25.0,362,0.9062509375,False,REGULAR,USD,2026-07-10
11,SPY260710P00505000,2026-07-02 13:30:01+00:00,505.0,0.01,0.0,0.01,0.0,0.0,1.0,241,0.87500125,False,REGULAR,USD,2026-07-10
12,SPY260710P00510000,2026-07-01 14:56:54+00:00,510.0,0.01,0.0,0.01,0.0,0.0,49.0,147,0.85937640625,False,REGULAR,USD,2026-07-10
13,SPY260710P00515000,2026-07-01 14:35:03+00:00,515.0,0.01,0.0,0.01,0.0,0.0,57.0,200,0.8437515624999999,False,REGULAR,USD,2026-07-10
14,SPY260710P00520000,2026-07-01 14:24:03+00:00,520.0,0.01,0.0,0.01,0.0,0.0,15.0,518,0.8125018749999999,False,REGULAR,USD,2026-07-10
15,SPY260710P00525000,2026-07-02 18:34:54+00:00,525.0,0.01,0.0,0.01,-0.01,-50.0,20.0,1646,0.79687703125,False,REGULAR,USD,2026-07-10
16,SPY260710P00530000,2026-07-02 16:13:46+00:00,530.0,0.01,0.0,0.01,-0.02,-66.66667,126.0,1305,0.7812521875,False,REGULAR,USD,2026-07-10
17,SPY260710P00535000,2026-07-02 14:49:48+00:00,535.0,0.01,0.0,0.01,-0.07,-87.5,6.0,695,0.7500025,False,REGULAR,USD,2026-07-10
18,SPY260710P00540000,2026-07-02 19:47:19+00:00,540.0,0.01,0.0,0.01,-0.01,-50.0,5.0,16351,0.73437765625,False,REGULAR,USD,2026-07-10
19,SPY260710P00545000,2026-07-01 19:21:30+00:00,545.0,0.02,0.0,0.01,0.0,0.0,1.0,766,0.7187528125,False,REGULAR,USD,2026-07-10
20,SPY260710P00550000,2026-07-02 15:04:46+00:00,550.0,0.01,0.0,0.01,-0.01,-50.0,5.0,66,0.6875031250000001,False,REGULAR,USD,2026-07-10
21,SPY260710P00555000,2026-07-02 19:54:36+00:00,555.0,0.01,0.01,0.02,0.0,0.0,25.0,89,0.73437765625,False,REGULAR,USD,2026-07-10
22,SPY260710P00560000,2026-07-02 19:55:21+00:00,560.0,0.02,0.01,0.02,0.0,0.0,7018.0,139,0.710940390625,False,REGULAR,USD,2026-07-10
23,SPY260710P00565000,2026-06-30 13:53:05+00:00,565.0,0.02,0.01,0.02,0.0,0.0,70.0,82,0.6953155468750001,False,REGULAR,USD,2026-07-10
24,SPY260710P00570000,2026-06-30 17:49:01+00:00,570.0,0.02,0.01,0.02,0.0,0.0,12.0,872,0.6718782812500002,False,REGULAR,USD,2026-07-10
25,SPY260710P00575000,2026-07-02 19:49:52+00:00,575.0,0.01,0.01,0.02,-0.02,-66.66667,2.0,5561,0.6523472265625001,False,REGULAR,USD,2026-07-10
26,SPY260710P00580000,2026-07-02 19:49:36+00:00,580.0,0.02,0.01,0.02,-0.01,-33.333336,158.0,5715,0.632816171875,False,REGULAR,USD,2026-07-10
27,SPY260710P00585000,2026-07-02 16:03:08+00:00,585.0,0.01,0.01,0.02,-0.03,-75.0,2502.0,394,0.6093789062500001,False,REGULAR,USD,2026-07-10
28,SPY260710P00590000,2026-07-02 15:30:10+00:00,590.0,0.03,0.01,0.02,0.0,0.0,75.0,1437,0.5937540625000001,False,REGULAR,USD,2026-07-10
29,SPY260710P00595000,2026-07-02 13:54:59+00:00,595.0,0.02,0.01,0.02,-0.01,-33.333336,4.0,1812,0.570316796875,False,REGULAR,USD,2026-07-10
30,SPY260710P00600000,2026-07-02 19:58:05+00:00,600.0,0.02,0.01,0.02,-0.01,-33.333336,82.0,1853,0.5546919531250001,False,REGULAR,USD,2026-07-10
31,SPY260710P00605000,2026-07-02 19:59:59+00:00,605.0,0.02,0.01,0.02,0.0,0.0,117.0,354,0.5312546875,False,REGULAR,USD,2026-07-10
32,SPY260710P00610000,2026-07-02 18:59:31+00:00,610.0,0.03,0.01,0.02,-0.01,-25.0,84.0,1641,0.51562984375,False,REGULAR,USD,2026-07-10
33,SPY260710P00615000,2026-07-02 20:14:50+00:00,615.0,0.02,0.02,0.03,-0.02,-50.0,27.0,1265,0.51562984375,False,REGULAR,USD,2026-07-10
34,SPY260710P00620000,2026-07-02 17:05:10+00:00,620.0,0.04,0.02,0.03,0.0,0.0,123.0,470,0.5039112109375,False,REGULAR,USD,2026-07-10
35,SPY260710P00625000,2026-07-02 19:47:07+00:00,625.0,0.03,0.02,0.03,-0.020000001,-40.000004,134.0,1564,0.48438015625,False,REGULAR,USD,2026-07-10
36,SPY260710P00630000,2026-07-02 15:26:14+00:00,630.0,0.04,0.02,0.03,-0.010000002,-20.000004,23.0,795,0.46484910156250003,False,REGULAR,USD,2026-07-10
37,SPY260710P00635000,2026-07-02 20:06:24+00:00,635.0,0.03,0.02,0.03,-0.01,-25.0,659.0,868,0.445318046875,False,REGULAR,USD,2026-07-10
38,SPY260710P00640000,2026-07-02 20:14:12+00:00,640.0,0.03,0.02,0.03,-0.020000001,-40.000004,479.0,2259,0.42578699218750005,False,REGULAR,USD,2026-07-10
39,SPY260710P00645000,2026-07-02 18:35:42+00:00,645.0,0.05,0.03,0.04,-0.009999998,-16.666664,117.0,567,0.41602146484374997,False,REGULAR,USD,2026-07-10
40,SPY260710P00650000,2026-07-02 20:05:55+00:00,650.0,0.04,0.03,0.04,-0.02,-33.333336,2203.0,2989,0.39649041015625003,False,REGULAR,USD,2026-07-10
41,SPY260710P00651000,2026-07-02 17:38:28+00:00,651.0,0.06,0.03,0.04,0.0,0.0,224.0,613,0.39258419921875,False,REGULAR,USD,2026-07-10
42,SPY260710P00652000,2026-07-02 17:38:33+00:00,652.0,0.06,0.03,0.04,-0.02,-25.0,875.0,508,0.38867798828125,False,REGULAR,USD,2026-07-10
43,SPY260710P00653000,2026-07-02 17:43:46+00:00,653.0,0.06,0.03,0.04,-0.010000002,-14.285716,5.0,2101,0.38477177734374995,False,REGULAR,USD,2026-07-10
44,SPY260710P00654000,2026-07-02 14:43:45+00:00,654.0,0.06,0.03,0.04,-0.010000002,-14.285716,28.0,1908,0.38086556640624997,False,REGULAR,USD,2026-07-10
45,SPY260710P00655000,2026-07-02 14:43:46+00:00,655.0,0.06,0.03,0.04,-0.010000002,-14.285716,28.0,1750,0.37500625,False,REGULAR,USD,2026-07-10
46,SPY260710P00656000,2026-07-02 14:56:06+00:00,656.0,0.06,0.03,0.04,-0.34,-85.0,9.0,149,0.3711000390625,False,REGULAR,USD,2026-07-10
47,SPY260710P00657000,2026-07-02 19:21:29+00:00,657.0,0.07,0.03,0.04,0.0,0.0,212.0,862,0.367193828125,False,REGULAR,USD,2026-07-10
48,SPY260710P00658000,2026-07-02 19:44:24+00:00,658.0,0.05,0.04,0.05,-0.029999997,-37.499996,2.0,952,0.37305314453125,False,REGULAR,USD,2026-07-10
49,SPY260710P00659000,2026-07-02 17:47:30+00:00,659.0,0.08,0.04,0.05,-0.030000001,-27.272728,2.0,235,0.36914693359375,False,REGULAR,USD,2026-07-10
50,SPY260710P00660000,2026-07-02 19:40:32+00:00,660.0,0.06,0.04,0.05,-0.02,-25.0,148.0,2323,0.36426416992187505,False,REGULAR,USD,2026-07-10
51,SPY260710P00661000,2026-07-02 17:31:04+00:00,661.0,0.07,0.04,0.05,-0.009999998,-12.499998,101.0,302,0.36035795898437495,False,REGULAR,USD,2026-07-10
52,SPY260710P00662000,2026-06-30 16:17:46+00:00,662.0,0.12,0.04,0.05,0.0,0.0,2.0,36,0.35547519531249994,False,REGULAR,USD,2026-07-10
53,SPY260710P00663000,2026-06-29 18:37:29+00:00,663.0,0.16,0.04,0.05,0.0,0.0,2.0,419,0.35156898437499995,False,REGULAR,USD,2026-07-10
54,SPY260710P00664000,2026-07-02 18:17:07+00:00,664.0,0.06,0.04,0.05,-0.040000003,-40.000004,1.0,30,0.34766277343749996,False,REGULAR,USD,2026-07-10
55,SPY260710P00665000,2026-07-02 19:52:19+00:00,665.0,0.06,0.04,0.05,-0.030000005,-33.333336,36.0,604,0.3437565625,False,REGULAR,USD,2026-07-10
56,SPY260710P00666000,2026-07-02 13:35:40+00:00,666.0,0.06,0.04,0.05,-0.040000003,-40.000004,3.0,285,0.3398503515625,False,REGULAR,USD,2026-07-10
57,SPY260710P00667000,2026-07-02 17:30:21+00:00,667.0,0.08,0.04,0.05,-0.020000003,-20.000004,234.0,490,0.335944140625,False,REGULAR,USD,2026-07-10
