,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY260605P00400000,2026-05-21 18:32:43+00:00,400.0,0.01,0.0,0.01,0.0,0.0,120.0,1126,0.9062509375,False,REGULAR,USD
1,SPY260605P00405000,2026-05-21 18:32:35+00:00,405.0,0.01,0.0,0.01,0.0,0.0,120.0,665,0.87500125,False,REGULAR,USD
2,SPY260605P00410000,2026-05-15 17:45:22+00:00,410.0,0.02,0.0,0.01,0.0,0.0,15.0,463,0.87500125,False,REGULAR,USD
3,SPY260605P00415000,2026-05-21 18:32:29+00:00,415.0,0.01,0.0,0.01,0.0,0.0,120.0,1037,0.8437515624999999,False,REGULAR,USD
4,SPY260605P00420000,2026-05-19 17:24:42+00:00,420.0,0.01,0.0,0.01,0.0,0.0,3.0,610,0.8437515624999999,False,REGULAR,USD
5,SPY260605P00425000,2026-05-21 18:32:21+00:00,425.0,0.01,0.0,0.01,0.0,0.0,360.0,371,0.8125018749999999,False,REGULAR,USD
6,SPY260605P00430000,2026-05-21 18:32:13+00:00,430.0,0.01,0.0,0.01,0.0,0.0,120.0,224,0.79687703125,False,REGULAR,USD
7,SPY260605P00435000,2026-05-21 18:32:07+00:00,435.0,0.01,0.0,0.01,0.0,0.0,2.0,1093,0.7812521875,False,REGULAR,USD
8,SPY260605P00440000,2026-05-21 18:30:28+00:00,440.0,0.01,0.0,0.01,0.0,0.0,120.0,373,0.7656273437500001,False,REGULAR,USD
9,SPY260605P00445000,2026-05-21 18:05:54+00:00,445.0,0.01,0.0,0.01,0.0,0.0,120.0,497,0.7500025,False,REGULAR,USD
10,SPY260605P00450000,2026-05-21 18:05:31+00:00,450.0,0.01,0.0,0.01,0.0,0.0,360.0,1347,0.73437765625,False,REGULAR,USD
11,SPY260605P00455000,2026-05-21 18:05:05+00:00,455.0,0.01,0.0,0.01,0.0,0.0,432.0,403,0.7187528125,False,REGULAR,USD
12,SPY260605P00460000,2026-05-21 18:04:48+00:00,460.0,0.01,0.0,0.01,0.0,0.0,575.0,1805,0.70312796875,False,REGULAR,USD
13,SPY260605P00465000,2026-05-21 18:04:28+00:00,465.0,0.01,0.0,0.01,0.0,0.0,300.0,1270,0.6875031250000001,False,REGULAR,USD
14,SPY260605P00470000,2026-05-21 18:04:09+00:00,470.0,0.01,0.0,0.01,0.0,0.0,240.0,3143,0.6718782812500002,False,REGULAR,USD
15,SPY260605P00475000,2026-05-21 18:03:51+00:00,475.0,0.01,0.0,0.01,0.0,0.0,60.0,4535,0.6562534375000001,False,REGULAR,USD
16,SPY260605P00480000,2026-05-22 18:46:33+00:00,480.0,0.01,0.0,0.02,0.0,0.0,96.0,414,0.6796907031250001,False,REGULAR,USD
17,SPY260605P00485000,2026-05-21 20:09:18+00:00,485.0,0.01,0.01,0.02,0.0,0.0,10.0,13,0.6875031250000001,False,REGULAR,USD
18,SPY260605P00490000,2026-05-22 17:44:53+00:00,490.0,0.01,0.01,0.02,-0.01,-50.0,100.0,349,0.6718782812500002,False,REGULAR,USD
19,SPY260605P00495000,2026-05-20 14:07:00+00:00,495.0,0.01,0.01,0.02,-0.01,-50.0,16.0,236,0.6562534375000001,False,REGULAR,USD
20,SPY260605P00500000,2026-05-22 15:30:50+00:00,500.0,0.02,0.01,0.02,0.0,0.0,10.0,7603,0.64062859375,False,REGULAR,USD
